record_id,doi,source_db,title,affiliations_raw,reprint_address
PubMed:18987970,10.1007/s11064-008-9872-9,PubMed,Brain oxidative stress as basic target of antioxidant traditional oriental medicines.,,
PubMed:21671182,10.1007/s11596-011-0385-4,PubMed,Effects of cinnamon granules on pharmacokinetics of berberine in Rhizoma Coptidis granules in healthy male volunteers.,,
PubMed:24337849,10.1007/s11596-013-1212-x,PubMed,Holotransferrin enhances selective anticancer activity of artemisinin against human hepatocellular carcinoma cells.,,
PubMed:32337697,10.1007/s11596-020-2181-5,PubMed,Huai Qi Huang-induced Apoptosis via Down-regulating PRKCH and Inhibiting RAF/MEK/ERK Pathway in Ph<sup>+</sup> Leukemia Cells.,,
PubMed:20131035,10.1007/s11655-010-0041-z,PubMed,Endoplasmic reticulum stress induced by tunicamycin and antagonistic effect of Tiantai No.1 (1) on mesenchymal stem cells.,,
PubMed:21390579,10.1007/s11655-011-0646-x,PubMed,"Anticolchicine cytotoxicity enhanced by Dan Gua-Fang, a Chinese herb prescription in ECV304 in mediums.",,
PubMed:21717156,10.1007/s11655-011-0763-6,PubMed,Synergistic anti-inflammatory effect of Radix Platycodon in combination with herbs for cleaning-heat and detoxification and its mechanism.,,
PubMed:21910072,10.1007/s11655-011-0853-5,PubMed,Potential synergistic and multitarget effect of herbal pair Chuanxiong Rhizome-Paeonia Albifora Pall on osteoarthritis disease: a computational pharmacology approach.,,
PubMed:24155071,10.1007/s11655-013-1335-0,PubMed,"Delisheng Injection (), a Chinese medicinal compound, enhanced the effect of cis-platinum on lung carcinoma cell line PGCL3.",,
PubMed:28551771,10.1007/s11655-017-2408-x,PubMed,Synergistic effects of Chuanxiong-Chishao herb-pair on promoting angiogenesis at network pharmacological and pharmacodynamic levels.,,
PubMed:22477279,10.1007/s11739-012-0777-x,PubMed,Herbal hepatotoxicity: a hidden epidemic.,,
PubMed:25829099,10.1007/s12011-015-0318-3,PubMed,Whether Metal Element-Containing Herbal Formula Angong Niuhuang Pill Is Safe for Acute Brain Disorders?,,
PubMed:40783635,10.1007/s12013-025-01835-x,PubMed,Deciphering the Therapeutic Mechanisms of Wuzi Yanzong Pill for Asthenozoospermia: A Synergistic Approach Combining Bioinformatics and Molecular Dynamics.,,
PubMed:34417949,10.1007/s12024-021-00418-5,PubMed,The potential side effects of herbal preparations in domestic animals.,,
PubMed:24825822,10.1007/s12029-014-9617-8,PubMed,In the war against solid tumors arsenic trioxide needs partners.,,
PubMed:24793543,10.1007/s12031-014-0288-5,PubMed,Synergistic inhibition on acetylcholinesterase by the combination of berberine and palmatine originally isolated from Chinese medicinal herbs.,,
PubMed:38888845,10.1007/s12064-024-00419-2,PubMed,Application of network pharmacology in synergistic action of Chinese herbal compounds.,,
PubMed:25103530,10.1007/s12253-014-9831-5,PubMed,"A Chinese herbal Formula, Chang-Wei-Qin, Synergistically Enhances Antitumor Effect of Oxaliplatin.",,
PubMed:18449508,10.1007/s12272-001-1184-7,PubMed,Combinatorial anti-Trichophyton effects of Ligusticum chuanxiong essential oil components with antibiotics.,,
PubMed:19784585,10.1007/s12272-009-1914-6,PubMed,Combined administration of the mixture of honokiol and magnolol and ginger oil evokes antidepressant-like synergism in rats.,,
PubMed:32006382,10.1007/s12539-020-00359-7,PubMed,A Network Pharmacology-Based Study of the Molecular Mechanisms of Shaoyao-Gancao Decoction in Treating Parkinson's Disease.,,
WoS:WOS:001434873700001,10.1016/j.aimed.2025.01.003,WoS,Evaluation of complementary and alternative medicine use in cancer patients: A survey study in Turkey,"[Ertas, Hulya; Kanat, Ozkan] Acibadem Hosp Grp, Dept Med Oncol, Bursa, Turkiye.
[Caner, Burcu; Cubukcu, Erdem] Bursa Uludag Univ, Dept Med Oncol, Gorukle Campus 16059, Bursa, Turkiye.
[Ocak, Birol] Univ Hlth Sci, Bursa Yuksek Ihtisas Training & Res Hosp, Dept Med Oncol, Bursa, Turkiye.
[Orhan, Sibel Oyucu] Univ Hlth Sci, Bursa City Hosp, Dept Med Oncol, Bursa, Turkiye.","Caner, B (corresponding author), Bursa Uludag Univ, Dept Med Oncol, Gorukle Campus 16059, Bursa, Turkiye."
PubMed:19185075,10.1016/j.amjmed.2008.09.033,PubMed,Reduced efficacy of rosuvastatin by St. John's Wort.,,
PubMed:19272482,10.1016/j.amjmed.2008.11.017,PubMed,Caveat emptor.,,
PubMed:21782851,10.1016/j.antiviral.2011.07.008,PubMed,Synergistic activity of baicalein with ribavirin against influenza A (H1N1) virus infections in cell culture and in mice.,,
PubMed:26778707,10.1016/j.antiviral.2016.01.001,PubMed,Characterization of the inhibitory effect of an extract of Prunella vulgaris on Ebola virus glycoprotein (GP)-mediated virus entry and infection.,,
PubMed:28923507,10.1016/j.antiviral.2017.09.006,PubMed,"Pentagalloylglucose, a highly bioavailable polyphenolic compound present in Cortex moutan, efficiently blocks hepatitis C virus entry.",,
OpenAlex:W2102426694,10.1016/j.atherosclerosis.2015.04.270,OpenAlex,Investigation of herb-drug interaction between statins and Danshen-Gegen decoction on cardiovascular disease,,
PubMed:23872355,10.1016/j.bbagen.2013.07.010,PubMed,Berberine combined with 2-deoxy-d-glucose synergistically enhances cancer cell proliferation inhibition via energy depletion and unfolded protein response disruption.,,
PubMed:18755149,10.1016/j.bbrc.2008.08.054,PubMed,Actein inhibits the Na+-K+-ATPase and enhances the growth inhibitory effect of digitoxin on human breast cancer cells.,,
PubMed:22178686,10.1016/j.bbrc.2011.11.143,PubMed,Analysis of the synergistic effect of glycyrrhizin and other constituents in licorice extract on lipopolysaccharide-induced nitric oxide production using knock-out extract.,,
PubMed:26740178,10.1016/j.bbrc.2015.12.100,PubMed,"Enhancement of cisplatin-induced colon cancer cells apoptosis by shikonin, a natural inducer of ROS in vitro and in vivo.",,
PubMed:34000513,10.1016/j.bbrc.2021.04.108,PubMed,Tripterine and miR-184 show synergy to suppress breast cancer progression.,,
PubMed:28539264,10.1016/j.bcp.2017.05.013,PubMed,"OP16, a novel ent-kaurene diterpenoid, potentiates the antitumor effect of rapamycin by inhibiting rapamycin-induced feedback activation of Akt signaling in esophageal squamous cell carcinoma.",,
PubMed:40250733,10.1016/j.bcp.2025.116953,PubMed,Oridonin combined with cisplatin synergistically induces apoptosis by activating the NOXA-BCL2 axis in esophageal squamous cell carcinoma.,,
PubMed:38705107,10.1016/j.bioorg.2024.107416,PubMed,Synergistic promotion of angiogenesis after intracerebral hemorrhage by ginsenoside Rh2 and chrysophanol in rats.,,
PubMed:27427852,10.1016/j.biopha.2016.07.004,PubMed,Melatonin promotes ATO-induced apoptosis in MCF-7 cells: Proposing novel therapeutic potential for breast cancer.,,
PubMed:29883946,10.1016/j.biopha.2018.05.127,PubMed,"Indirubin, a bis-indole alkaloid binds to tubulin and exhibits antimitotic activity against HeLa cells in synergism with vinblastine.",,
PubMed:30551465,10.1016/j.biopha.2018.09.033,PubMed,Formononetin and metformin act synergistically to inhibit growth of MCF-7 breast cancer cells in vitro.,,
PubMed:30954310,10.1016/j.biopha.2019.108827,PubMed,"Corrigendum to ""Herb-drug interaction: A case study of effects and involved mechanisms of cisplatin on the pharmacokinetics of ginsenoside Rb1 in tumor-bearing mice"" [Biomed. Pharmacother. 110 (2019) 95-104].",,
PubMed:31629951,10.1016/j.biopha.2019.109519,PubMed,XIAOPI formula promotes breast cancer chemosensitivity via inhibiting CXCL1/HMGB1-mediated autophagy.,,
PubMed:32425327,10.1016/j.biopha.2020.110265,PubMed,Evaluation of the synergetic effect of Yupingfeng san and Flos Sophorae Immaturus based on free radical scavenging capacity.,,
PubMed:33166765,10.1016/j.biopha.2020.110962,PubMed,Effects of Yuanhu- Zhitong tablets on alcohol-induced conditioned place preference in mice.,,
PubMed:33774314,10.1016/j.biopha.2021.111475,PubMed,Salvianolic acid B inhalation solution enhances antifibrotic and anticoagulant effects in a rat model of pulmonary fibrosis.,,
PubMed:37738796,10.1016/j.biopha.2023.115438,PubMed,Sijunzi Tang improves gefitinib resistance by regulating glutamine metabolism.,,
PubMed:38850659,10.1016/j.biopha.2024.116832,PubMed,Berberine synergises with ferroptosis inducer sensitizing NSCLC to ferroptosis in p53-dependent SLC7A11-GPX4 pathway.,,
PubMed:19188016,10.1016/j.canlet.2008.12.009,PubMed,Effect of Ganoderma on drug-sensitive and multidrug-resistant small-cell lung carcinoma cells.,,
PubMed:22306340,10.1016/j.canlet.2012.01.006,PubMed,Synergistic anticancer activity of triptolide combined with cisplatin enhances apoptosis in gastric cancer in vitro and in vivo.,,
PubMed:25263871,10.1016/j.carbpol.2014.07.042,PubMed,Inhibitory effect of Angelica sinensis extract in the presence of 2-hydroxypropyl-β-cyclodextrin.,,
PubMed:36119792,10.1016/j.chmed.2020.03.001,PubMed,Mining lycodine-type alkaloid biosynthetic genes and genetic markers from transcriptome of <i>Lycopodiastrum casuarinoides</i>.,,
PubMed:34345866,10.1016/j.crtox.2021.06.001,PubMed,Predicting the potential toxicity of 26 components in <i>Cassiae</i> semen using <i>in silico</i> and <i>in vitro</i> approaches.,,
Scopus:2-s2.0-76749111434,10.1016/j.ctim.2010.01.002,Scopus,The prevalence of herbs use in conjunction with conventional medicines in Jamaica,"Natural Products Institute, University of the West Indies, Mona, Jamaica; Tropical Metabolic Research Institute, Epidemiology Unit, University of the West Indies, Mona, Jamaica; Faculty of Health and Applied Sciences, University of Technology, Jamaica","R. Delgoda; Natural Products Institute, University of the West Indies, Mona, Jamaica; email: thejani.delgoda@uwimona.edu.jm"
PubMed:25440380,10.1016/j.ctim.2014.08.002,PubMed,Potential synergistic effects of Chinese herbal prescription FTZ components detected in blood towards hepatic lipid-modulating targets.,,
PubMed:27626051,10.1016/j.dib.2016.08.004,PubMed,3D-QSAR modelling dataset of bioflavonoids for predicting the potential modulatory effect on P-glycoprotein activity.,,
Scopus:2-s2.0-59649084889,10.1016/j.disamonth.2008.12.002,Scopus,Alternative and Complementary Medicine for Preventing and Treating Cardiovascular Disease,,
Scopus:2-s2.0-70349327791,10.1016/j.disamonth.2009.05.001,Scopus,Herbal Toxicity,,
Scopus:2-s2.0-84864096755,10.1016/j.disamonth.2012.04.002,Scopus,Complications of Anticoagulation,,
PubMed:27329261,10.1016/j.dmpk.2016.05.002,PubMed,"Interspecies differences in metabolism of deoxypodophyllotoxin in hepatic microsomes from human, monkey, rat, mouse and dog.",,
PubMed:18588872,10.1016/j.ejphar.2008.06.026,PubMed,Anti-tumor effect of honokiol alone and in combination with other anti-cancer agents in breast cancer.,,
PubMed:20969848,10.1016/j.ejphar.2010.10.030,PubMed,"Evidence for the complementary and synergistic effects of the three-alkaloid combination regimen containing berberine, hypaconitine and skimmianine on the ulcerative colitis rats induced by trinitrobenzene-sulfonic acid.",,
PubMed:39053867,10.1016/j.ejphar.2024.176829,PubMed,Synergistic effect of osthole and notopterol combination against Alzheimer's disease and osteoporosis by applying zebrafish AD/OP comorbidity model.,,
PubMed:39154824,10.1016/j.ejphar.2024.176917,PubMed,The combination of paeoniflorin and metformin synergistically inhibits the progression of liver fibrosis in mice.,,
